date,timestamp,NDVI,EVI,LST_day,LST_night,precip_7d,precip_15d,precip_30d,precip_60d,precip_90d,LST_range,LST_mean,NDVI_EVI_ratio,year,month,day_of_year,season,thermal_stress,NDVI_change,NDVI_rolling_mean_30d,ET_estimate,water_balance_7d,water_balance_15d,water_balance_30d,water_balance_60d,water_balance_90d
2016-02-02,1454371200000,0.7760162636803258,0.5666581742597776,27.851801801801848,21.71775260880633,54.71984732556586,63.883719201871536,156.66236582394617,292.414054647337,355.588432058281,6.134049192995519,24.78477720530409,1.369458572154999,2016,2,33,verano,0,0.02524403666635311,0.7633942453471493,12.392388602652044,-32.02687289299845,-122.00210983790913,-215.10929225561517,-451.12926151178567,-759.726542180403
2016-03-05,1457136000000,0.7317813438533979,0.561612225332994,26.37303554763722,,22.338653454234837,38.40124789963768,50.842240022816014,203.77194885540277,338.6263012570401,,,1.3029987736124038,2016,3,65,otoño,0,-0.044234919826927954,0.7538988037668619,0.0,22.338653454234837,38.40124789963768,50.842240022816014,203.77194885540277,338.6263012570401
2016-04-06,1459900800000,0.7345757868838549,0.46926454568592507,27.2936362093832,23.040611690845868,0.0,11.420064157835649,29.85101938996089,74.33440134434677,208.71936725147134,4.253024518537334,25.167123950114537,1.5653733661825229,2016,4,97,otoño,0,0.002794443030457061,0.7331785653686265,12.583561975057268,-88.08493382540088,-177.33336546802337,-347.65583986175716,-680.6793171590892,-923.8012105036828
2016-04-22,1461283200000,0.7282571816407907,0.5071642232968523,29.014382794604252,,7.74815965501813,22.726018821089742,34.14608297892539,81.68464607045357,163.2299905018597,,,1.435936748396744,2016,4,113,otoño,0,-0.006318605243064268,0.7314164842623228,0.0,7.74815965501813,22.726018821089742,34.14608297892539,81.68464607045357,163.2299905018597
2016-05-08,1462665600000,0.17527856961058796,0.14696043946720966,24.29000000000002,19.11647492232581,17.563921729450538,38.610052448582415,61.33607126967219,91.18709065963303,135.67047261401896,5.17352507767421,21.703237461162914,1.1926840826140417,2016,5,129,otoño,0,-0.5529786120302027,0.4517678756256893,10.851618730581457,-58.39740938461965,-124.16422851013942,-264.2124906477715,-559.9100331752544,-840.9752131383121
2016-05-24,1464048000000,0.6858331212352592,0.4321896071943665,24.285768219224583,16.002895562908307,0.0,15.594843756184673,48.07677063756268,88.35097918369249,135.8895422752207,8.282872656316275,20.144331891066443,1.586876507306471,2016,5,145,otoño,0,0.5105545516246712,0.4305558454229236,10.072165945533222,-70.50516161873256,-135.48764542681366,-254.08820772843399,-515.9789775483008,-770.6053928227692
2016-06-09,1465430400000,0.6800693391024009,0.38790820395350795,23.14755153983205,16.914652583354563,6.4638149116728405,14.978057309124239,30.572901065308915,91.90897233498106,121.75999172494194,6.232898956477488,20.03110206159331,1.753166287809735,2016,6,161,invierno,0,-0.0057637821328583305,0.6829512301688301,10.015551030796654,-63.645042303903736,-135.2552081528256,-269.8936298585907,-509.02408951281825,-779.6396010467569
2016-06-25,1466812800000,0.6718759226266223,0.40369748875880196,22.8177644862985,19.106379061678147,4.3098844849973315,12.673180344977167,27.651237654101408,75.7280082916641,104.58215267995827,3.711385424620353,20.962071773988324,1.6643013073750905,2016,6,177,invierno,0,-0.008193416475778537,0.6759726308645115,10.481035886994162,-69.0573667239618,-144.54235795993526,-286.77983895572345,-553.1341449279856,-838.7110771495163
2016-07-11,1468195200000,0.6397871468567066,0.4216079324679732,26.678478832612242,22.301760414015472,7.574445433498103,13.174582028293912,35.47698602852773,66.04988709383663,112.40809919743717,4.37671841859677,24.49011962331386,1.517489544425881,2016,7,193,invierno,0,-0.032088775769915756,0.6558315347416644,12.24505981165693,-78.14097324810041,-170.50131514656005,-331.8748083211802,-668.6537016055792,-989.6472838516866
2016-07-27,1469577600000,0.6224767540510732,0.36652016628489004,27.7729252566387,18.897228302367047,6.110774972860145,11.801099073637062,24.97568110193097,62.25614241128905,95.41490789692422,8.875696954271653,23.335076779502874,1.6983378077740636,2016,7,209,invierno,0,-0.0173103928056334,0.6311319504538899,11.667538389751437,-75.56199375539991,-163.2119767726345,-325.0504705906122,-637.7961609737972,-954.6635471807051
2016-08-12,1470960000000,0.5839127343683718,0.36022781029948236,30.839914312378074,22.198814795961688,2.9647639840474658,2.9647639840474658,14.76586305768453,41.879553226232424,80.81575015152116,8.641099516416386,26.519364554169883,1.6209495678119858,2016,8,225,invierno,0,-0.0385640196827014,0.6031947442097225,13.259682277084941,-89.85301195554712,-195.93047017222665,-383.0246052548637,-753.701383398864,-1112.5556547861236
2016-08-28,1472342400000,0.5424284126580128,0.3381146602188852,26.43946975481466,16.481458386357886,4.484417097839757,10.296663344498045,13.26142732854551,32.6369718356807,67.00332734238317,9.958011368456773,21.460464070586273,1.6042688241853753,2016,8,241,invierno,0,-0.041484321710358985,0.5631705735131922,10.730232035293136,-70.6272071492122,-150.65681718489898,-308.6455337302486,-611.1769502819075,-898.7175558339991
2016-09-13,1473724800000,0.5831033256978025,0.38318711292101465,30.38898362602873,24.69823279884624,0.0,25.685447097866344,49.677628572168985,64.4434916298535,91.55718179840143,5.690750827182487,27.543608212437483,1.5217155909478743,2016,9,257,primavera,0,0.04067491303978976,0.5627658691779076,13.771804106218742,-96.4026287435312,-180.89161449541479,-363.47649461439323,-761.864754743271,-1147.9051877612853
2016-09-29,1475107200000,0.6582357427674554,0.4646903452956648,30.641297191821508,21.813600576906765,0.9225196797317587,10.622755856897077,26.036565257947306,63.26514841311353,82.64069292024867,8.827696614914743,26.227448884364136,1.4165009730246774,2016,9,273,primavera,0,0.0751324170696529,0.6206695342326289,13.113724442182068,-90.8735514155427,-186.08311077583394,-367.37516800751473,-723.5583181178106,-1097.5945068761373
2016-10-15,1476489600000,0.628644133367269,0.443007703402053,34.87325782641895,23.923265461949654,7.616018599202494,22.538160285685134,33.16091614258222,82.83854471475121,91.91408367165877,10.949992364469296,29.398261644184302,1.4190333700887643,2016,10,289,primavera,0,-0.029591609400186458,0.6434399380673622,14.699130822092151,-95.27789715544257,-197.94880204569714,-407.81300852018234,-799.1093046107778,-1231.0076903166348
2016-10-31,1477872000000,0.6684205968604451,0.5277253579437641,32.18602035535627,22.80859237536655,20.16445517692151,24.584944135673464,47.05675555328387,73.04382481999863,110.20179926789754,9.377427979989719,27.49730636536141,1.2666045324415531,2016,10,305,primavera,0,0.039776463493176095,0.648532365113857,13.748653182680705,-76.07611710184344,-181.64485360453713,-365.4028399271373,-751.8753661408437,-1127.176987173366
2016-11-16,1479254400000,0.6592990253579436,0.5286711488701055,32.16413317233054,,33.55227933136456,91.88540908528215,116.47035322095562,149.52441472702444,199.12660256601384,,,1.247084845999582,2016,11,321,primavera,0,-0.00912157150250148,0.6638598111091943,0.0,33.55227933136456,91.88540908528215,116.47035322095562,149.52441472702444,199.12660256601384
2016-12-02,1480636800000,0.7260407583340402,0.49862984986003916,31.95861650691326,21.938290779540253,18.652668342182626,25.610241433340263,133.7312240891404,180.78286568118833,206.76258918743352,10.020325727373006,26.948453643226756,1.4560686699144927,2016,12,337,verano,0,0.06674173297609665,0.6926698918459919,13.474226821613378,-75.66691940911103,-176.5031608908604,-270.49558055926093,-627.6707436156144,-1005.9178247577705
2016-12-18,1482019200000,0.6950762914581391,0.49195802018831114,28.0175544999576,22.395143778098248,17.38810563898439,63.66481055282275,102.11923010819072,230.39601541493758,267.7819543120839,5.622410721859353,25.206349139027925,1.4128743715118368,2016,12,353,verano,0,-0.030964466875901153,0.7105585248960897,12.603174569513962,-70.83411634761335,-125.38280798988669,-275.97600697722817,-525.7944587559002,-866.5037569441729
